Object ID,FIPS_CODE,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OCR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED
317,17031250700,5396,38.4,17.7,32.84433578,38.7,11.9,10.5
318,17031250800,2427,38,33.2,42.80701754,38.8,8.9,14
319,17031251000,960,30.9,19.1,43.84615385,54.5,7.7,17.8
320,17031251100,4416,32.4,41.6,47.38461538,40,6.1,12
321,17031251200,4487,38.3,23.9,38.10483871,28.9,9.7,16.9
322,17031251300,3934,41.5,23.4,44.31314623,38.8,9.3,19
323,17031251400,3951,43.4,21.9,28.75471698,27.1,17.1,8.1
324,17031251500,4176,36.3,45.4,49.75074776,40.2,11.1,23.7
325,17031251600,4161,30.6,32.6,33.1838565,34.4,13.1,6
326,17031251700,1329,29.3,19.3,20.7253886,37.4,14.3,12.7
327,17031251800,4943,27,35.8,37.58716876,39.4,6.2,18
328,17031251900,4466,27.7,48.5,41.59566228,32.4,8.4,20.2
329,17031252000,5556,32.7,33.5,41.16022099,41.5,9.6,8.8
330,17031252101,1284,35.8,34.3,40.28340081,28.7,17.9,6.9
331,17031252102,7295,31,32.5,46.02763385,41,9.1,14.5
332,17031252201,2922,48.9,30.8,42.0890937,36.4,12.3,17.6
333,17031252202,4653,33.7,38.9,32.04798629,31.3,9.4,23.8
334,17031260100,1154,42.2,50.8,40.29850746,37.9,6.8,17.6
335,17031260200,1067,26,31.1,35.39823009,30.5,6,15.7
336,17031260300,1430,35.9,37.4,38.58093126,29.7,6.9,21.4
337,17031260400,1145,36.2,31.2,24.23208191,32.5,4,24.4
338,17031260500,1713,29.5,49.2,30.88235294,31.3,3.6,12.8
339,17031260600,2150,25.2,51.9,39.2,31.9,3.2,26.2
340,17031260700,1816,31.5,52.2,62.53164557,40.1,3.9,16.7
341,17031260800,2659,26.9,49.6,49.41520468,42,7.7,17.9
342,17031260900,1488,33,30.7,38.42975207,48.3,2.9,20.3
343,17031261000,2321,32.4,28.5,34.51882845,34.6,8.6,10
344,17031270500,1478,31,50.6,39.27272727,28.2,8.3,23.9
345,17031271200,1263,37.7,37.5,55.58912387,33.6,10.3,16.9
346,17031271300,1316,20.7,59.3,29.31034483,44.1,10.8,13.3
347,17031271400,1189,30,47.2,63.02083333,41.3,19.2,16.4
348,17031271500,1623,30,34.6,41.50943396,29.2,14.9,10.1
349,17031271800,841,20.8,72.2,37.09677419,68,5.7,11.7
350,17031280100,6447,32.9,7.6,7.689320388,1.3,91.4,1.9
351,17031280400,1760,28.7,36.8,34.12844037,27.9,21.5,12
352,17031280800,888,40.6,30.3,20.56737589,22.3,19.7,23.5
353,17031280900,991,27.6,56.3,16.7721519,20.5,22.2,34.7
354,17031281900,6018,30.1,17.9,16.040571,5.2,90.3,4.4
355,17031282700,2172,34.3,22.2,21.24352332,23.4,39.2,15.5
356,17031282800,1600,27.2,21.1,24.77477477,12.2,61.8,8.6
357,17031283100,3257,25.5,35.7,32.29873909,11.1,64.8,9.4
358,17031283200,1592,29.5,21.1,29.50391645,14.1,72.2,7.6
359,17031283800,3605,32.7,21.8,22.11934156,12.4,57.5,12.9
360,17031290900,3746,27.3,44.1,28.87573964,38.5,10.5,36.6
361,17031291200,2480,23.7,45.3,40.35874439,32.1,16.3,22.2
362,17031291600,976,37.9,19.7,30,26,18,2.8
363,17031292200,2705,31.6,48.2,54.14634146,35.7,15.3,23.3
364,17031292400,2203,30,38.4,47.24220624,30,10.4,5.3
365,17031292500,3897,33.8,27.7,39.03301887,25.5,17.1,14.3
366,17031300500,2889,33.8,20.7,13.93442623,18.8,9.9,6.3
367,17031300600,3186,31.1,24.7,32.304038,23.2,15.2,10.8
368,17031300700,4721,29.2,32.7,16.91428571,17.4,11.7,8.8
369,17031300800,4070,26.6,42,32.55172414,25.7,5.3,10.4
370,17031300900,4402,30.4,37.2,23.64485981,17.1,5.5,4.7
371,17031301100,2423,27.7,31.7,15.76994434,27.1,14,9.1
372,17031301200,4087,26.6,34.5,31.39120095,34,8,11.3
373,17031301600,4881,32.3,32.8,21.11801242,25.7,11.7,10.7
374,17031301701,3943,31.5,35.2,3.971631206,29.8,8.1,11.6
375,17031301702,4387,28.2,20.2,20.89552239,37.4,5.3,9.6
376,17031301801,3625,31.5,23.1,21.95121951,35.8,9.4,8.4
377,17031301802,3509,32.5,24.3,23.4,30.5,9.2,14.3
378,17031301803,5011,30.1,28.3,20.17010936,36.1,6.4,8
