GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,COMMUNITY_AREA_GROUP
17031220601,1763,30.9,12.3,21.2,17.1,53.3,2.7,22,LOGAN SQUARE,North
17031220602,5058,33.1,17.1,14.2,20.7,49.3,6.5,22,LOGAN SQUARE,North
17031220701,3230,32.6,13.5,17,37,37.4,4.9,22,LOGAN SQUARE,North
17031220702,3817,30.5,13.8,22.3,22.6,35.2,4.5,22,LOGAN SQUARE,North
17031220901,3073,30.1,27.2,28,25.2,25.7,7.5,22,LOGAN SQUARE,North
17031220902,2927,32.7,13.7,22.8,33.6,23.5,4.3,22,LOGAN SQUARE,North
17031221000,2774,29.9,25.6,24.3,24.3,39.2,8.9,22,LOGAN SQUARE,North
17031221100,5207,31.8,20.4,19.6,23.1,43.5,6.1,22,LOGAN SQUARE,North
17031221200,2917,30.9,9.9,14.2,18.6,63.5,4.6,22,LOGAN SQUARE,North
17031221300,2848,33.5,22,10.8,15,52,4.8,22,LOGAN SQUARE,North
17031221400,3026,32.8,7,19.9,15.9,56.8,2.1,22,LOGAN SQUARE,North
17031221500,2822,35,10,9.1,19.5,53.5,4.1,22,LOGAN SQUARE,North
17031221600,3136,31.5,5.6,13.3,8.3,79.7,1,22,LOGAN SQUARE,North
17031222200,2226,30.7,6.1,10.9,4.8,82.7,5.5,22,LOGAN SQUARE,North
17031222500,1748,32.5,22.6,26.2,26.4,46,7.2,22,LOGAN SQUARE,North
17031222600,1573,31.1,7.2,13.9,13.4,56.6,4.8,22,LOGAN SQUARE,North
17031222700,2462,29.6,19.8,20.5,32.7,38,2.7,22,LOGAN SQUARE,North
17031222800,968,29.9,23.8,25.4,34.8,34.2,4.6,22,LOGAN SQUARE,North
17031222900,1051,28.2,11.8,20.4,34.6,16.4,3.9,22,LOGAN SQUARE,North
17031230100,1794,29.7,25.3,18.9,23.6,39.6,4.9,23,HUMBOLDT PARK,West
17031230200,2149,31.4,20.7,24.1,27.1,18.5,9.5,23,HUMBOLDT PARK,West
17031230300,1001,28.8,19.3,21.5,35.5,13.8,11.5,23,HUMBOLDT PARK,West
17031230400,2089,35.3,21.1,28.4,24.4,19.8,14.9,23,HUMBOLDT PARK,West
17031230500,3489,35.5,34.5,30.9,21.9,11.1,10.1,23,HUMBOLDT PARK,West
17031230600,7303,26.4,25.8,20.4,30.8,12.5,17.8,23,HUMBOLDT PARK,West
17031230700,5899,31.1,20.5,29.8,32.1,12.2,5.5,23,HUMBOLDT PARK,West
17031230800,1425,32.3,22.2,33.7,28.7,12.4,11.5,23,HUMBOLDT PARK,West
17031230900,4965,31.8,33.1,25,23.1,30,6.3,23,HUMBOLDT PARK,West
17031231100,1292,31.9,29.4,48.4,34.5,15.3,21.2,23,HUMBOLDT PARK,West
17031231200,6782,29.9,31,33.3,26.1,13.4,10.9,23,HUMBOLDT PARK,West
17031231500,5772,38.7,37.5,28.4,27.2,11,20.2,23,HUMBOLDT PARK,West
17031240200,1641,33.3,6.9,12,13.1,74.2,3.6,24,WEST TOWN,West
17031240300,1215,32.4,4.6,9.7,5.5,85,1.8,24,WEST TOWN,West
